AREA_CODE,AREA_NAME,COMPONENT,SEX,AGE_GROUP,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047
E09000022,Lambeth,Internal migration in,males,68,18.011,18.95,19.608,20.469,21.146,22.225,22.833,23.21,23.855,24.532,24.645,24.822,24.969,24.521,24.607,24.192,24.028,23.789,23.447,22.864,23.068,22.811,22.329,22.662,23.598
E09000022,Lambeth,Internal migration in,males,69,16.574,16.854,17.719,18.312,19.114,19.751,20.805,21.383,21.755,22.334,23.003,23.083,23.293,23.405,22.984,23.086,22.705,22.523,22.304,22.005,21.429,21.635,21.379,20.933,21.245
E09000022,Lambeth,Internal migration in,males,70,12.388,12.892,13.131,13.776,14.281,14.92,15.417,16.235,16.686,17.074,17.506,17.974,18.105,18.312,18.416,18.071,18.162,17.892,17.782,17.549,17.385,16.929,17.062,16.882,16.534
E09000022,Lambeth,Internal migration in,males,71,11.65,11.997,12.48,12.72,13.314,13.841,14.451,14.951,15.782,16.24,16.594,16.995,17.495,17.599,17.792,17.898,17.577,17.676,17.406,17.265,17.044,16.901,16.446,16.599,16.424
E09000022,Lambeth,Internal migration in,males,72,10.354,10.2,10.493,10.884,11.076,11.6,12.043,12.593,13.006,13.717,14.115,14.426,14.792,15.202,15.317,15.484,15.576,15.298,15.382,15.145,15.06,14.866,14.72,14.342,14.468
E09000022,Lambeth,Internal migration in,males,73,10.123,10.026,9.883,10.151,10.524,10.712,11.221,11.669,12.193,12.601,13.307,13.699,13.993,14.351,14.754,14.854,15.045,15.127,14.862,14.948,14.726,14.632,14.449,14.33,13.943
E09000022,Lambeth,Internal migration in,males,74,9.688,9.606,9.536,9.384,9.639,9.955,10.145,10.64,11.056,11.56,11.929,12.578,12.981,13.238,13.583,13.987,14.073,14.245,14.324,14.1,14.182,13.969,13.908,13.743,13.607
E09000022,Lambeth,Internal migration in,males,75,9.233,8.656,8.537,8.452,8.323,8.529,8.783,8.91,9.345,9.725,10.116,10.451,11,11.405,11.603,11.878,12.231,12.304,12.406,12.513,12.318,12.368,12.146,12.106,11.99
E09000022,Lambeth,Internal migration in,males,76,10.269,9.239,8.639,8.546,8.45,8.325,8.53,8.813,8.953,9.405,9.801,10.207,10.562,11.138,11.538,11.758,12.037,12.402,12.469,12.588,12.704,12.487,12.554,12.338,12.28
E09000022,Lambeth,Internal migration in,males,77,6.994,9.011,8.124,7.558,7.479,7.403,7.275,7.468,7.735,7.848,8.228,8.572,8.943,9.228,9.713,10.057,10.268,10.508,10.808,10.898,10.958,11.073,10.891,10.937,10.738
E09000022,Lambeth,Internal migration in,males,78,6.069,6.293,8.104,7.281,6.848,6.714,6.656,6.549,6.726,6.919,7.027,7.381,7.678,8.001,8.27,8.702,9.033,9.201,9.429,9.717,9.784,9.876,9.961,9.819,9.873
E09000022,Lambeth,Internal migration in,males,79,6.075,6.154,6.386,8.237,7.382,6.952,6.818,6.759,6.664,6.84,7.036,7.152,7.512,7.827,8.157,8.43,8.881,9.237,9.389,9.627,9.927,9.992,10.089,10.185,10.042
E09000022,Lambeth,Internal migration in,males,80,4.662,4.737,4.771,4.984,6.477,5.781,5.427,5.393,5.341,5.279,5.413,5.621,5.744,6.061,6.307,6.596,6.845,7.19,7.467,7.607,7.815,8.046,8.119,8.207,8.282
E09000022,Lambeth,Internal migration in,males,81,3.963,4.353,4.428,4.466,4.664,6.056,5.393,5.111,5.03,4.997,4.933,5.063,5.219,5.341,5.642,5.86,6.124,6.362,6.675,6.962,7.062,7.27,7.492,7.552,7.656
E09000022,Lambeth,Internal migration in,males,82,3.89,4.074,4.465,4.521,4.578,4.804,6.297,5.564,5.23,5.2,5.15,5.089,5.226,5.444,5.574,5.888,6.157,6.443,6.701,7.07,7.351,7.491,7.7,7.94,8.011
